query,run,elapsed_ms,result_count
language_en_inline,1,120.719,98110
language_en_inline,2,136.079,98110
language_en_inline,3,149.156,98110
language_en_inline,4,115.328,98110
language_en_inline,5,127.483,98110
language_en_inline,6,132.108,98110
language_en_inline,7,140.361,98110
language_en_inline,8,279.041,98110
language_en_inline,9,200.314,98110
language_en_inline,10,142.18,98110
is_oa_true_inline,1,93.735,70079
is_oa_true_inline,2,105.72,70079
is_oa_true_inline,3,96.269,70079
is_oa_true_inline,4,94.907,70079
is_oa_true_inline,5,104.553,70079
is_oa_true_inline,6,94.403,70079
is_oa_true_inline,7,83.612,70079
is_oa_true_inline,8,85.647,70079
is_oa_true_inline,9,92.317,70079
is_oa_true_inline,10,91.84,70079
work_type_article_inline,1,82.741,93792
work_type_article_inline,2,88.18,93792
work_type_article_inline,3,89.178,93792
work_type_article_inline,4,106.211,93792
work_type_article_inline,5,113.631,93792
work_type_article_inline,6,96.231,93792
work_type_article_inline,7,91.801,93792
work_type_article_inline,8,81.167,93792
work_type_article_inline,9,80.573,93792
work_type_article_inline,10,82.982,93792
oa_status_gold_inline,1,75.991,26269
oa_status_gold_inline,2,72.865,26269
oa_status_gold_inline,3,78.615,26269
oa_status_gold_inline,4,86.236,26269
oa_status_gold_inline,5,69.695,26269
oa_status_gold_inline,6,92.124,26269
oa_status_gold_inline,7,99.48,26269
oa_status_gold_inline,8,77.054,26269
oa_status_gold_inline,9,68.788,26269
oa_status_gold_inline,10,77.473,26269
license_cc_by_inline,1,93.756,34379
license_cc_by_inline,2,100.366,34379
license_cc_by_inline,3,93.896,34379
license_cc_by_inline,4,94.201,34379
license_cc_by_inline,5,95.039,34379
license_cc_by_inline,6,140.089,34379
license_cc_by_inline,7,125.582,34379
license_cc_by_inline,8,118.026,34379
license_cc_by_inline,9,109.919,34379
license_cc_by_inline,10,95.744,34379
