query,run,first_executed,inline_ms,5gnf_ms,paired_difference_ms,result_count
language_en,1,inline,83.1616,89.6997,-6.5381,98110
language_en,2,inline,58.2068,97.012,-38.8052,98110
language_en,3,5gnf,58.0397,81.7628,-23.7231,98110
language_en,4,5gnf,78.9292,97.3817,-18.4525,98110
language_en,5,5gnf,101.5678,131.0148,-29.447,98110
language_en,6,5gnf,103.5959,154.8744,-51.2785,98110
language_en,7,5gnf,77.4026,151.7944,-74.3918,98110
language_en,8,inline,39.0339,74.532,-35.4981,98110
language_en,9,inline,38.3454,71.8926,-33.5472,98110
language_en,10,5gnf,51.8907,88.9921,-37.1014,98110
language_en,11,inline,39.2325,79.6295,-40.397,98110
language_en,12,inline,43.7485,72.6839,-28.9354,98110
language_en,13,5gnf,44.1814,77.4923,-33.3109,98110
language_en,14,inline,48.3585,93.7515,-45.393,98110
language_en,15,inline,52.2506,79.5983,-27.3477,98110
language_en,16,inline,53.5578,80.3903,-26.8325,98110
language_en,17,5gnf,44.3233,80.7182,-36.3949,98110
language_en,18,5gnf,55.7024,82.121,-26.4186,98110
language_en,19,inline,49.5642,107.596,-58.0318,98110
language_en,20,inline,55.2409,85.7055,-30.4646,98110
language_en,21,5gnf,30.6881,77.4321,-46.744,98110
language_en,22,inline,35.9544,62.1363,-26.1819,98110
language_en,23,inline,29.8207,78.5293,-48.7086,98110
language_en,24,inline,31.2729,57.7653,-26.4924,98110
language_en,25,5gnf,28.6343,63.0667,-34.4324,98110
language_en,26,inline,31.7098,67.9747,-36.2649,98110
language_en,27,5gnf,38.3948,60.7666,-22.3718,98110
language_en,28,5gnf,33.2361,71.904,-38.6679,98110
language_en,29,5gnf,84.8447,64.7699,20.0748,98110
language_en,30,5gnf,146.9367,85.4457,61.491,98110
is_oa_true,1,5gnf,22.8871,45.5455,-22.6584,70079
is_oa_true,2,5gnf,75.4963,49.7252,25.7711,70079
is_oa_true,3,5gnf,74.5382,113.9765,-39.4383,70079
is_oa_true,4,5gnf,68.9667,117.0865,-48.1198,70079
is_oa_true,5,inline,73.6447,107.1181,-33.4734,70079
is_oa_true,6,5gnf,79.697,119.3678,-39.6708,70079
is_oa_true,7,inline,84.7944,101.6526,-16.8582,70079
is_oa_true,8,inline,53.1507,65.7465,-12.5958,70079
is_oa_true,9,5gnf,38.3978,63.8045,-25.4067,70079
is_oa_true,10,inline,39.7776,62.8754,-23.0978,70079
is_oa_true,11,5gnf,32.9186,58.1098,-25.1912,70079
is_oa_true,12,inline,29.5919,59.5783,-29.9864,70079
is_oa_true,13,inline,23.3648,58.4741,-35.1093,70079
is_oa_true,14,inline,24.0914,45.7283,-21.6369,70079
is_oa_true,15,5gnf,23.7014,44.9041,-21.2027,70079
is_oa_true,16,5gnf,22.7707,44.535,-21.7643,70079
is_oa_true,17,inline,24.6449,46.8026,-22.1577,70079
is_oa_true,18,inline,23.7479,46.9486,-23.2007,70079
is_oa_true,19,inline,22.6925,45.9326,-23.2401,70079
is_oa_true,20,5gnf,26.0891,45.8052,-19.7161,70079
is_oa_true,21,inline,27.0716,46.9629,-19.8913,70079
is_oa_true,22,inline,23.8668,44.2381,-20.3713,70079
is_oa_true,23,5gnf,23.8477,44.492,-20.6443,70079
is_oa_true,24,inline,22.9776,44.9856,-22.008,70079
is_oa_true,25,5gnf,37.3946,45.8381,-8.4435,70079
is_oa_true,26,inline,22.7012,42.9954,-20.2942,70079
is_oa_true,27,inline,24.5386,44.2748,-19.7362,70079
is_oa_true,28,5gnf,24.5561,44.3723,-19.8162,70079
is_oa_true,29,5gnf,39.5945,60.8594,-21.2649,70079
is_oa_true,30,5gnf,23.6538,46.7389,-23.0851,70079
work_type_article,1,inline,27.904,54.6279,-26.7239,93792
work_type_article,2,5gnf,27.2647,58.491,-31.2263,93792
work_type_article,3,5gnf,29.9776,53.1829,-23.2053,93792
work_type_article,4,5gnf,30.698,59.706,-29.008,93792
work_type_article,5,5gnf,33.6254,65.1367,-31.5113,93792
work_type_article,6,5gnf,93.2441,123.7539,-30.5098,93792
work_type_article,7,5gnf,29.1311,135.9833,-106.8522,93792
work_type_article,8,inline,40.0359,54.3623,-14.3264,93792
work_type_article,9,inline,27.4044,59.9018,-32.4974,93792
work_type_article,10,5gnf,35.0093,61.9841,-26.9748,93792
work_type_article,11,5gnf,28.2577,60.6887,-32.431,93792
work_type_article,12,5gnf,29.1934,78.4386,-49.2452,93792
work_type_article,13,5gnf,27.6312,56.4706,-28.8394,93792
work_type_article,14,inline,27.583,53.2163,-25.6333,93792
work_type_article,15,inline,26.9173,57.4858,-30.5685,93792
work_type_article,16,5gnf,28.8675,57.8086,-28.9411,93792
work_type_article,17,5gnf,44.4862,69.7796,-25.2934,93792
work_type_article,18,inline,27.6607,53.6806,-26.0199,93792
work_type_article,19,5gnf,28.5946,57.4386,-28.844,93792
work_type_article,20,inline,27.775,55.8199,-28.0449,93792
work_type_article,21,inline,27.7313,54.429,-26.6977,93792
work_type_article,22,inline,31.1197,57.4888,-26.3691,93792
work_type_article,23,inline,33.8442,57.0955,-23.2513,93792
work_type_article,24,inline,30.1489,57.6563,-27.5074,93792
work_type_article,25,inline,28.9831,56.6786,-27.6955,93792
work_type_article,26,inline,30.3187,200.5964,-170.2777,93792
work_type_article,27,5gnf,40.1929,59.3397,-19.1468,93792
work_type_article,28,inline,28.5018,57.6822,-29.1804,93792
work_type_article,29,inline,28.5574,57.0418,-28.4844,93792
work_type_article,30,5gnf,31.1032,60.8995,-29.7963,93792
oa_status_gold,1,5gnf,14.7162,22.9727,-8.2565,26269
oa_status_gold,2,inline,13.1533,22.9219,-9.7686,26269
oa_status_gold,3,5gnf,13.5599,22.6706,-9.1107,26269
oa_status_gold,4,5gnf,14.7237,23.2644,-8.5407,26269
oa_status_gold,5,inline,14.3268,23.2597,-8.9329,26269
oa_status_gold,6,5gnf,14.4497,23.1167,-8.667,26269
oa_status_gold,7,inline,16.2558,24.2855,-8.0297,26269
oa_status_gold,8,5gnf,15.9411,23.8413,-7.9002,26269
oa_status_gold,9,5gnf,14.4436,23.1005,-8.6569,26269
oa_status_gold,10,5gnf,19.143,27.9108,-8.7678,26269
oa_status_gold,11,inline,13.6955,22.5935,-8.898,26269
oa_status_gold,12,inline,14.5826,22.3114,-7.7288,26269
oa_status_gold,13,inline,14.0384,25.0977,-11.0593,26269
