query,run,elapsed_ms,result_count
language_en,1,181.09,98110
language_en,2,156.018,98110
language_en,3,180.099,98110
language_en,4,206.297,98110
language_en,5,250.523,98110
language_en,6,163.37,98110
language_en,7,89.649,98110
language_en,8,149.477,98110
language_en,9,120.139,98110
language_en,10,100.015,98110
is_oa_true,1,90.275,70079
is_oa_true,2,89.703,70079
is_oa_true,3,67.462,70079
is_oa_true,4,86.662,70079
is_oa_true,5,85.076,70079
is_oa_true,6,100.648,70079
is_oa_true,7,89.918,70079
is_oa_true,8,75.889,70079
is_oa_true,9,46.554,70079
is_oa_true,10,50.027,70079
work_type_article,1,60.652,93792
work_type_article,2,62.683,93792
work_type_article,3,64.463,93792
work_type_article,4,67.29,93792
work_type_article,5,74.157,93792
work_type_article,6,329.25,93792
work_type_article,7,86.013,93792
work_type_article,8,81.041,93792
work_type_article,9,83.65,93792
work_type_article,10,70.991,93792
oa_status_gold,1,333.95,26269
oa_status_gold,2,32.646,26269
oa_status_gold,3,26.392,26269
oa_status_gold,4,27.076,26269
oa_status_gold,5,24.844,26269
oa_status_gold,6,23.901,26269
oa_status_gold,7,29.159,26269
oa_status_gold,8,24.919,26269
oa_status_gold,9,24.124,26269
oa_status_gold,10,23.969,26269
license_cc_by,1,28.891,34379
license_cc_by,2,28.295,34379
license_cc_by,3,31.429,34379
license_cc_by,4,31.293,34379
license_cc_by,5,29.285,34379
license_cc_by,6,28.531,34379
license_cc_by,7,27.117,34379
license_cc_by,8,28.203,34379
license_cc_by,9,27.603,34379
license_cc_by,10,29.769,34379
