benchmark,work_id,original_license_code,replacement_license_code,run,first_executed,inline_elapsed_ms,structured_elapsed_ms,paired_difference_ms,inline_nodes_affected,inline_properties_set,structured_nodes_affected,structured_relationships_deleted,structured_relationships_created,inline_nodes_restored,structured_nodes_restored
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,1,structured,20.7654,20.6534,0.112,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,2,structured,18.6001,19.6049,-1.0048,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,3,inline,21.4295,23.3336,-1.9041,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,4,inline,20.2734,18.9425,1.3309,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,5,structured,17.5268,20.8127,-3.2859,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,6,inline,19.1289,19.6137,-0.4848,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,7,structured,16.9452,19.1321,-2.1869,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,8,structured,17.6035,18.9139,-1.3104,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,9,structured,19.8953,18.5989,1.2964,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,10,inline,27.4321,32.0276,-4.5955,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,11,structured,19.7901,19.9672,-0.1771,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,12,structured,17.19,17.8271,-0.6371,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,13,inline,18.2117,19.2827,-1.071,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,14,structured,16.4704,18.4041,-1.9337,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,15,structured,17.9435,20.2331,-2.2896,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,16,inline,18.0364,15.6901,2.3463,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,17,structured,16.0257,17.9848,-1.9591,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,18,inline,17.6651,18.5119,-0.8468,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,19,inline,20.1575,22.4118,-2.2543,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,20,inline,16.7805,16.8958,-0.1153,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,21,structured,16.713,17.181,-0.468,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,22,structured,15.8717,17.8689,-1.9972,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,23,inline,16.7701,18.0022,-1.2321,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,24,inline,20.3562,17.7678,2.5884,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,25,inline,21.7286,16.5406,5.188,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,26,inline,17.4763,16.2426,1.2337,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,27,structured,18.1371,18.1132,0.0239,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,28,inline,16.9049,17.7703,-0.8654,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,29,structured,17.021,19.2692,-2.2482,1,2,1,1,1,1,1
metadata_assignment_correction,W1119960297,cc-by,cc-by-nc,30,inline,19.301,18.5655,0.7355,1,2,1,1,1,1,1
