metadata_value_id,metadata_category,metadata_value
NW_MV_1,city,1
NW_MV_2,city,12
NW_MV_3,city,153
NW_MV_4,city,170 Prince Edward Parade Hunter's Hill
NW_MV_5,city,23
NW_MV_6,city,255
NW_MV_7,city,267
NW_MV_8,city,29 King's Way
NW_MV_9,city,33
NW_MV_10,city,414
NW_MV_11,city,442
NW_MV_12,city,67
NW_MV_13,city,74 Rose St. Moonie Ponds
NW_MV_14,city,75
NW_MV_15,city,891
NW_MV_16,city,92
NW_MV_17,city,Aachen
NW_MV_18,city,Albuquerque
NW_MV_19,city,Anchorage
NW_MV_20,city,Ann Arbor
NW_MV_21,city,Barcelona
NW_MV_22,city,Barquisimeto
NW_MV_23,city,Bend
NW_MV_24,city,Bergamo
NW_MV_25,city,Berlin
NW_MV_26,city,Bern
NW_MV_27,city,Boise
NW_MV_28,city,Boston
NW_MV_29,city,Brandenburg
NW_MV_30,city,Bruxelles
NW_MV_31,city,Bräcke
NW_MV_32,city,Buenos Aires
NW_MV_33,city,Butte
NW_MV_34,city,Campinas
NW_MV_35,city,Caracas
NW_MV_36,city,Charleroi
NW_MV_37,city,Colchester
NW_MV_38,city,Cork
NW_MV_39,city,Cowes
NW_MV_40,city,Cunewalde
NW_MV_41,city,Cuxhaven
NW_MV_42,city,Elgin
NW_MV_43,city,Eugene
NW_MV_44,city,Frankfurt
NW_MV_45,city,Frankfurt a.M.
NW_MV_46,city,Genève
NW_MV_47,city,Graz
NW_MV_48,city,Göteborg
NW_MV_49,city,Helsinki
NW_MV_50,city,I. de Margarita
NW_MV_51,city,Kirkland
NW_MV_52,city,Kobenhavn
NW_MV_53,city,Köln
NW_MV_54,city,Lander
NW_MV_55,city,Lappeenranta
NW_MV_56,city,Leipzig
NW_MV_57,city,Lille
NW_MV_58,city,Lisboa
NW_MV_59,city,London
NW_MV_60,city,Luleå
NW_MV_61,city,Lyngby
NW_MV_62,city,Lyon
NW_MV_63,city,Madrid
NW_MV_64,city,Mannheim
NW_MV_65,city,Marseille
NW_MV_66,city,Montréal
NW_MV_67,city,México D.F.
NW_MV_68,city,München
NW_MV_69,city,Münster
NW_MV_70,city,Nantes
NW_MV_71,city,New Orleans
NW_MV_72,city,Osaka
NW_MV_73,city,Oulu
NW_MV_74,city,Oviedo
NW_MV_75,city,Paris
NW_MV_76,city,Portland
NW_MV_77,city,Redmond
NW_MV_78,city,Reggio Emilia
NW_MV_79,city,Reims
NW_MV_80,city,Resende
NW_MV_81,city,Rio de Janeiro
NW_MV_82,city,Rue des Francs-Bourgeois
NW_MV_83,city,Salzburg
NW_MV_84,city,San Cristóbal
NW_MV_85,city,San Francisco
NW_MV_86,city,Sandvika
NW_MV_87,city,Sao Paulo
NW_MV_88,city,Seattle
NW_MV_89,city,Sevilla
NW_MV_90,city,Stavern
NW_MV_91,city,Ste-Hyacinthe
NW_MV_92,city,Stockholm
NW_MV_93,city,Strasbourg
NW_MV_94,city,Stuttgart
NW_MV_95,city,Suite #402
NW_MV_96,city,Tacoma
NW_MV_97,city,Tokyo
NW_MV_98,city,Torino
NW_MV_99,city,Toulouse
NW_MV_100,city,Tsawassen
NW_MV_101,city,Vancouver
NW_MV_102,city,Versailles
NW_MV_103,city,Walla Walla
NW_MV_104,city,Warszawa
NW_MV_105,city,Zaandam
NW_MV_106,city,avenue de l'Europe
NW_MV_107,city,chaussée de Tournai
NW_MV_108,city,place Kléber
NW_MV_109,city,rue H. Voiron
NW_MV_110,city,rue Lauriston
NW_MV_111,city,rue Royale
NW_MV_112,city,rue des Alpes
NW_MV_113,city,rue des Bouchers
NW_MV_114,city,rue des Cinquante Otages
NW_MV_115,city,rue du Commerce
NW_MV_116,city,Århus
NW_MV_117,country,02389-673
NW_MV_118,country,02389-890
NW_MV_119,country,04876-786
NW_MV_120,country,0512
